"year","ingo_uia","ccode","polity2","xrcomp","xropen","xconst","parcomp","physint","disap","kill","polpris","tort","injud","amnesty","pop","gdppc","rentspc","military","execrlc","trade_gdp","fdi_net_in","public_trial","fair_trial","final_decision","legislative_ck","structad","imfstruct","wbimfstruct","britcol","common","hr_law","cat_ratify","cpr_ratify","ythblgap","latent","cwar","iwar","ainr_lag","aibr_lag","avmdia_lag","hro_shaming_lag","physint_lag","amnesty_lag","disap_lag","kill_lag","polpris_lag","tort_lag","latent_lag"
1981,1106,2,10,3,4,7,5,8,2,2,2,2,2,1,233253.2,13313.43,1381.80151367188,0,1,20.0721702575684,0.811585783958435,2,2,0,0,0,0,0,1,1,0,0,0,23.2999992370605,2.09063723698037,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,1505,2,10,3,4,7,5,8,2,2,2,2,2,1,235660.6,13704.03,1226.919921875,0,1,18.1677360534668,0.386467128992081,2,2,0,0,0,0,0,1,1,0,0,0,22.7999992370605,2.11764759241704,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.09063723698037
1983,1528,2,10,3,4,7,5,8,2,2,2,2,2,1,238116.7,14736.47,1005.82574462891,0,1,17.2688121795654,0.298554271459579,2,2,0,0,0,0,0,1,1,0,0,0,22.2000007629395,2.09299667651559,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.11764759241704
1984,1593,2,10,3,4,7,5,8,2,2,2,2,2,1,240589,16221.44,956.760314941406,0,1,18.1391658782959,0.63480669260025,2,2,0,0,0,0,0,1,1,0,0,0,21.6000003814697,2.00212836408717,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.09299667651559
1985,1593,2,10,3,4,7,5,7,2,2,2,1,2,1,243055.6,17228.98,876.597961425781,0,1,17.1860065460205,0.478159040212631,2,2,0,0,0,0,0,1,1,0,0,0,21.1000003814697,1.81328587586661,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.00212836408717
1986,804,2,10,3,4,7,5,7,2,2,2,1,2,1,245505.5,18034.63,532.792724609375,0,1,17.473445892334,0.800429403781891,2,2,0,0,0,0,0,1,1,0,0,0,20.5,1.68152285787719,0,0,NA,NA,NA,NA,7,1,2,2,2,1,1.81328587586661
1987,1579,2,10,3,4,7,5,8,2,2,2,2,2,2,247949.3,18963.55,516.149230957031,0,1,18.5681762695312,1.2443550825119,2,2,0,0,0,0,0,1,1,0,0,0,20,1.60275184295612,0,0,0,6,3.5,NA,7,1,2,2,2,1,1.68152285787719
1988,1832,2,10,3,4,7,5,7,2,2,2,1,2,1,250413.1,20222.18,401.991088867188,0,1,19.7139415740967,1.14059937000275,2,2,0,0,0,0,0,1,1,0,0,0,19.3999996185303,1.59636731693787,0,0,2,17,2.5,NA,8,2,2,2,2,2,1.60275184295612
1989,1933,2,10,3,4,7,5,7,2,2,2,1,2,1,252934.3,21514.28,421.8232421875,0,1,20.1132411956787,1.25466477870941,2,2,0,0,0,0,0,1,1,0,0,0,18.8999996185303,1.56035427511211,0,0,0,15,0.5,NA,7,1,2,2,2,1,1.59636731693787
1990,2008,2,10,3,4,7,5,8,2,2,2,2,2,1,255539,22530.02,467.556579589844,0,1,20.5501842498779,0.843187034130096,2,2,0,0,0,0,0,1,1,0,0,0,18.3999996185303,1.50264031493229,0,0,1,28,1.5,NA,7,1,2,2,2,1,1.56035427511211
1991,2051,2,10,3,4,7,5,7,2,2,2,1,2,2,258233.3,23029.18,434.143615722656,0,1,20.5726127624512,0.390847623348236,2,2,0,0,0,0,0,1,1,0,0,0,18.1000003814697,1.26866682420376,0,0,0,17,2.5,NA,8,1,2,2,2,2,1.50264031493229
1992,2127,2,10,3,4,7,5,7,2,2,2,1,2,2,261005.2,24086.88,352.392028808594,0,1,20.8055191040039,0.316362708806992,2,2,0,0,0,0,0,1,1,0,0,1,17.8999996185303,1.21720588456872,0,0,3,22,2,NA,7,2,2,2,2,1,1.26866682420376
1993,2226,2,10,3,4,7,5,7,2,2,2,1,2,1,263838.9,25031.18,303.166900634766,0,3,20.8965644836426,0.78050708770752,2,2,0,0,0,0,0,1,1,0,0,1,17.6000003814697,1.35858930193316,0,0,2,36,3,0,7,2,2,2,2,1,1.21720588456872
1994,2273,2,10,3,4,7,5,7,2,2,2,1,2,1,266711.1,26311.62,263.6494140625,0,3,21.936710357666,0.659631371498108,2,2,0,0,0,0,0,1,1,0,1,1,17.2999992370605,1.43991414490029,0,0,0,36,2.5,0,7,1,2,2,2,1,1.35858930193316
1995,2327,2,10,3,4,7,5,7,2,2,2,1,2,1,269602.8,27233.77,258.43408203125,0,3,23.3634033203125,0.787637650966644,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.46771539594628,0,0,17,21,2.5,8,7,1,2,2,2,1,1.43991414490029
1996,2418,2,10,3,4,7,5,7,2,2,2,1,2,1,272510.6,28484.4,286.181030273438,0,3,23.6314849853516,1.11622869968414,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.47567982427147,0,0,6,22,1,3,7,1,2,2,2,1,1.46771539594628
1997,2490,2,10,3,4,7,5,7,2,2,2,1,2,1,275433.7,29956.03,267.511779785156,0,3,24.3468780517578,1.27887117862701,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.50669855914814,0,0,6,11,1.5,5,7,1,2,2,2,1,1.47567982427147
1998,2560,2,10,3,4,7,5,7,2,2,2,1,2,1,278358.4,31235.27,172.335144042969,0,3,23.6769256591797,2.04816389083862,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.51037256706239,0,0,12,11,3,4,7,1,2,2,2,1,1.50669855914814
1999,2648,2,10,3,4,7,5,7,2,2,2,1,2,1,281268.9,32766.51,214.573791503906,0,3,24.0909576416016,3.1119556427002,2,2,0,0,0,0,0,1,1,1,1,1,17.1000003814697,1.44176149459692,0,0,24,31,4,13,7,1,2,2,2,1,1.51037256706239
1981,980,20,10,3,4,7,5,8,2,2,2,2,2,NA,24769.85,11737.74,1806.802734375,0,3,53.1088485717773,0.220747739076614,0,0,0,0,0,0,0,1,1,0,0,1,24.8999996185303,1.87206934584855,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,1341,20,10,3,4,7,5,7,2,2,2,1,2,NA,25016.05,11794.67,1661.97631835938,0,3,47.4852523803711,0.029245363548398,2,2,0,0,0,0,0,1,1,0,0,1,24.2000007629395,1.82902605817059,0,0,NA,NA,NA,NA,8,NA,2,2,2,2,1.87206934584855
1983,1366,20,10,3,4,7,5,7,2,2,2,1,2,1,25266.95,12500.78,1483.91723632812,0,3,47.661808013916,0.598994314670563,2,2,0,0,0,0,0,1,1,0,0,1,23.5,1.90432110348008,0,0,NA,NA,NA,NA,7,NA,2,2,2,1,1.82902605817059
1984,1427,20,10,3,4,7,5,7,2,2,2,1,2,1,25538.86,13500.8,1441.7607421875,0,3,53.7548217773438,1.36939680576324,2,2,0,0,0,0,0,1,1,0,0,1,22.8999996185303,2.0323363165333,0,0,NA,NA,NA,NA,7,1,2,2,2,1,1.90432110348008
1985,1427,20,10,3,4,7,5,8,2,2,2,2,2,NA,25842.59,14327.46,1362.22082519531,0,1,54.2409744262695,0.38139870762825,2,2,0,0,0,0,0,1,1,0,0,1,22.2000007629395,2.20780825443875,0,0,NA,NA,NA,NA,7,1,2,2,2,1,2.0323363165333
1986,1306,20,10,3,4,7,5,8,2,2,2,2,2,1,26183.17,14754.82,803.9619140625,0,1,54.7351341247559,0.772229790687561,2,2,0,0,0,0,0,1,1,0,0,1,21.3999996185303,2.34876123869405,0,0,NA,NA,NA,NA,8,NA,2,2,2,2,2.20780825443875
1987,1527,20,10,3,4,7,5,8,2,2,2,2,2,1,26554.73,15853.83,630.817565917969,0,1,52.4607772827148,1.92504978179932,2,2,0,0,0,0,0,1,1,0,1,1,20.7000007629395,2.4466449123577,0,0,0,0,0,NA,8,1,2,2,2,2,2.34876123869405
1988,1658,20,10,3,4,7,5,8,2,2,2,2,2,NA,26943.7,17010.45,447.967834472656,0,1,52.6769142150879,1.21869647502899,2,2,0,0,0,0,0,1,1,0,1,1,19.8999996185303,2.49196234521221,0,0,0,4,0,NA,8,1,2,2,2,2,2.4466449123577
1989,1746,20,10,3,4,7,5,8,2,2,2,2,2,NA,27330.55,17998.11,527.127075195312,0,1,51.3371772766113,1.08489537239075,2,2,0,0,0,0,0,1,1,0,1,1,19.2000007629395,2.49607627989856,0,0,0,1,0,NA,8,NA,2,2,2,2,2.49196234521221
1990,1807,20,10,3,4,7,5,8,2,2,2,2,2,1,27700.86,18331.4,753.046447753906,0,1,51.4967193603516,1.30089318752289,2,2,0,0,0,0,0,1,1,0,1,1,18.5,2.45170320805493,0,0,0,0,0,NA,8,NA,2,2,2,2,2.49607627989856
1991,1838,20,10,3,4,7,5,8,2,2,2,2,2,1,28051.01,18048.25,747.507385253906,0,1,50.8127746582031,0.480499565601349,2,2,0,0,0,0,0,1,1,0,1,1,18.2000007629395,2.35399646191051,0,0,0,4,0.5,NA,8,1,2,2,2,2,2.45170320805493
1992,1920,20,10,3,4,7,5,7,2,2,2,1,2,1,28384.36,18326.75,638.716186523438,0,1,54.5593032836914,0.824250757694244,2,2,0,0,0,0,0,1,1,0,1,1,17.8999996185303,2.20424909509851,0,0,0,1,0.5,NA,8,1,2,2,2,2,2.35399646191051
1993,1981,20,10,3,4,7,5,8,2,2,2,2,2,1,28701.93,18843.62,589.766784667969,0,1,60.4162101745605,0.842496931552887,2,2,0,0,0,0,0,1,1,0,1,1,17.6000003814697,2.27210280765461,0,0,0,3,0,0,7,1,2,2,2,1,2.20424909509851
1994,2043,20,10,3,4,7,5,7,2,2,2,1,2,1,29006.86,19950.71,531.117309570312,0,3,66.8256607055664,1.45683741569519,2,2,0,0,0,0,0,1,1,0,1,1,17.2999992370605,2.25069253350665,0,0,0,1,0,0,8,1,2,2,2,2,2.27210280765461
1995,2070,20,10,3,4,7,5,8,2,2,2,2,2,NA,29302.09,20971.83,561.046813964844,0,3,71.4560012817383,1.57813203334808,2,2,0,0,0,0,0,1,1,1,1,1,17,2.37523357246732,0,0,0,0,0,0,7,1,2,2,2,1,2.25069253350665
1996,2116,20,10,3,4,7,5,8,2,2,2,2,2,1,29585.8,21555.95,653.812438964844,0,3,72.7479019165039,1.56984543800354,2,2,0,0,0,0,0,1,1,1,1,1,16.8999996185303,2.52830802123834,0,0,0,1,0,0,8,NA,2,2,2,2,2.37523357246732
1997,2182,20,10,3,4,7,5,8,2,2,2,2,2,NA,29858.14,22635,616.901977539062,0,3,77.0193252563477,1.80740129947662,2,2,0,0,0,0,0,1,1,1,1,1,16.7000007629395,2.58946840112553,0,0,0,2,0,0,8,1,2,2,2,2,2.52830802123834
1998,2236,20,10,3,4,7,5,7,2,2,2,1,2,NA,30126.63,23039.34,500.443267822266,0,3,80.8847885131836,3.68737554550171,2,2,0,0,0,0,0,1,1,1,1,1,16.6000003814697,2.53511668093771,0,0,0,3,0,0,8,NA,2,2,2,2,2.58946840112553
1999,2300,20,10,3,4,7,5,8,2,2,2,2,2,NA,30401.3,24615.57,509.572479248047,0,3,82.7083740234375,3.74868869781494,2,2,0,0,0,0,0,1,1,1,1,1,16.5,2.50435198315742,0,0,0,2,0.5,0,7,NA,2,2,2,1,2.53511668093771
1981,98,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.71,10446.95,0,0,2,129.75114440918,2.41149663925171,1,2,2,-1,0,0,0,1,1,NA,0,0,35.5999984741211,1.54477658704493,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,171,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.68,11399.42,0,0,2,125.337387084961,0.177406072616577,1,2,2,-1,0,0,0,1,1,NA,0,0,34.9000015258789,1.55785282452122,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54477658704493
1983,173,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.72,12323.12,0,0,2,124.584487915039,-0.346260398626328,1,2,2,-1,0,0,0,1,1,NA,0,0,34.2999992370605,1.55423104109472,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55785282452122
1984,181,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.82,12729.51,0,0,2,121.895057678223,-0.240066632628441,1,2,2,-1,0,0,0,1,1,NA,0,0,33.5999984741211,1.54095652035899,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55423104109472
1985,181,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.99,13387.06,0,0,2,124.061714172363,-1.30133152008057,1,2,2,-1,0,0,0,1,1,NA,0,0,33.0999984741211,1.51254351396559,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54095652035899
1986,184,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,239.83,13754.47,0,0,2,121.722953796387,-0.533872604370117,1,2,2,-1,0,0,0,1,1,NA,0,0,32.5,1.46174522854213,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51254351396559
1987,216,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.04,14763.36,0,0,2,117.126022338867,0.397936642169952,1,2,2,-1,0,0,0,1,1,NA,0,0,31.8999996185303,1.60392463163286,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1.46174522854213
1988,231,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.06,15359.15,0,0,2,NA,1.30238831043243,1,2,2,-1,0,0,0,1,1,NA,0,0,31.3999996185303,1.72080675176478,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.60392463163286
1989,239,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,252.42,17666.06,0,0,2,111.000328063965,0.829523205757141,1,2,2,-1,0,0,0,1,1,NA,0,0,30.8999996185303,1.82359389577447,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.72080675176478
1990,253,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,257.25,17893.82,0,0,2,110.120025634766,-0.546430826187134,1,2,2,-1,0,0,0,1,1,NA,0,0,30.3999996185303,1.87265468819835,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1.82359389577447
1991,248,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,260.33,16900.39,0,0,2,106.118621826172,-0.0417850576341152,1,2,2,-1,0,0,0,1,1,NA,0,0,29.7999992370605,1.88296749953898,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1.87265468819835
1992,251,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,264.08,15801.69,0,0,2,101.461563110352,0.00964940525591373,1,2,2,-1,0,0,0,1,1,NA,0,0,29.2000007629395,1.86168749076569,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1.88296749953898
1993,252,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,268.19,15681,0,0,1,103.359962463379,0.876455366611481,1,2,2,-1,0,0,0,1,1,NA,0,0,28.6000003814697,1.81076584819856,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,1.86168749076569
1994,263,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,271.88,16373.88,0,0,1,104.401962280273,0.718011677265167,1,2,2,-1,0,0,0,1,1,NA,0,0,28.1000003814697,1.72796893257966,0,0,0,1,0,0,NA,1,NA,NA,NA,NA,1.81076584819856
1995,260,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275.3,16010.16,0,0,1,104.465438842773,3.11461067199707,1,2,2,-1,0,0,0,1,1,NA,0,0,27.6000003814697,1.89702956556096,0,0,2,0,0,0,NA,1,NA,NA,NA,NA,1.72796893257966
1996,270,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,278.57,15845.94,0,0,1,105.856750488281,2.43280696868896,1,2,2,-1,0,0,0,1,1,NA,0,0,26.8999996185303,2.00552377243581,0,0,0,1,0,0,NA,1,NA,NA,NA,NA,1.89702956556096
1997,268,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,281.58,16019.96,0,0,1,91.2568283081055,4.2329158782959,1,2,2,-1,0,0,0,1,1,NA,0,0,26.2999992370605,2.08920903350164,0,0,1,1,0,0,NA,1,NA,NA,NA,NA,2.00552377243581
1998,265,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,284.51,16230.24,0,0,1,88.9055480957031,2.74398684501648,1,2,2,-1,0,0,0,1,1,NA,0,0,25.7999992370605,2.12713300522598,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,2.08920903350164
1999,263,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,287.36,17958.9,0,0,1,86.6985778808594,2.48007798194885,1,2,2,-1,0,0,0,1,1,NA,0,0,25.2000007629395,2.09970918368826,0,0,1,1,0,0,NA,1,NA,NA,NA,NA,2.12713300522598
1981,254,40,NA,NA,NA,NA,NA,4,1,2,0,1,0,3,9711.98,2899.41,11.8286371231079,0,3,76.7800903320312,NA,0,0,2,0,0,0,0,0,0,0,0,0,28.7000007629395,-1.25400233190564,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,322,40,NA,NA,NA,NA,NA,2,1,1,0,0,0,3,9789.22,3474.96,20.4742660522461,0,3,76.7862777709961,0.0000477247012895532,0,0,2,0,0,0,0,0,0,0,0,0,29.2000007629395,-1.33513192562216,0,0,NA,NA,NA,NA,4,3,1,2,0,1,-1.25400233190564
1983,329,40,NA,NA,NA,NA,NA,1,0,1,0,0,0,3,9885.6,3527.11,23.4769058227539,0,3,76.511344909668,0.000450334511697292,0,0,2,0,0,0,0,0,0,0,0,0,29.7000007629395,-1.34125103185629,0,0,NA,NA,NA,NA,2,3,1,1,0,0,-1.33513192562216
1984,333,40,NA,NA,NA,NA,NA,2,1,1,0,0,0,3,9982.3,3650.32,21.4805641174316,0,3,76.4142303466797,0.00079036969691515,0,0,2,0,0,0,0,0,0,0,0,0,30.1000003814697,-1.29989342640826,0,0,NA,NA,NA,NA,1,3,0,1,0,0,-1.34125103185629
1985,333,40,NA,NA,NA,NA,NA,3,1,1,1,0,0,3,10078.66,5076.81,22.5201969146729,0,3,78.6770172119141,0.000698034826200455,0,0,2,0,0,0,0,0,0,0,0,0,30.6000003814697,-1.29195680311502,0,0,NA,NA,NA,NA,2,3,1,1,0,0,-1.29989342640826
1986,328,40,NA,NA,NA,NA,NA,1,1,0,0,0,0,3,10162.19,5197.85,9.65480518341064,0,3,75.511604309082,0.000701717217452824,0,0,2,0,0,0,0,0,0,0,0,0,29.8999996185303,-1.38493196774097,0,0,NA,NA,NA,NA,3,3,1,1,1,0,-1.29195680311502
1987,367,40,NA,NA,NA,NA,NA,2,1,1,0,0,0,3,10239.84,5408.92,12.5777082443237,0,3,76.8171844482422,0.000515594438184053,0,0,2,0,0,0,0,0,0,0,0,0,29.2999992370605,-1.18348849404194,0,0,0,5,0.5,NA,1,3,1,0,0,0,-1.38493196774097
1988,390,40,NA,NA,NA,NA,NA,4,2,2,0,0,0,3,10334.04,5675.89,6.90277433395386,0,3,75.1367111206055,0.000400597258703783,0,0,2,0,0,0,0,0,0,0,0,0,28.7000007629395,-0.943596655846819,0,0,0,5,0,NA,2,3,1,1,0,0,-1.18348849404194
1989,405,40,NA,NA,NA,NA,NA,3,2,1,0,0,1,3,10439.25,5797.07,8.63354873657227,0,3,75.9286346435547,0.000851057528052479,0,0,2,0,0,0,0,0,0,0,0,0,28.2000007629395,-0.812398104660103,0,0,1,6,0.5,NA,4,3,2,2,0,0,-0.943596655846819
1990,433,40,NA,NA,NA,NA,NA,3,2,1,0,0,0,3,10544.79,5809,11.7990942001343,0,3,71.1144943237305,0.00408442039042711,0,0,2,0,0,0,0,0,0,0,0,0,27.6000003814697,-0.665280918377285,0,0,0,7,2,NA,3,3,2,1,0,0,-0.812398104660103
1991,449,40,NA,NA,NA,NA,NA,4,2,2,0,0,1,3,10642.49,5670.1,9.03824138641357,0,3,50.9961166381836,0.0393537543714046,0,0,2,0,0,0,0,0,0,0,0,0,26.3999996185303,-0.581163326970175,0,0,1,3,2,NA,3,3,2,1,0,0,-0.665280918377285
1992,477,40,NA,NA,NA,NA,NA,3,2,1,0,0,0,3,10723.26,4932.19,10.0295238494873,0,3,35.1468658447266,0.0326906032860279,0,0,2,0,0,0,0,0,0,0,0,0,25.2000007629395,-0.603869198973464,0,0,0,5,0.5,NA,4,3,2,2,0,0,-0.581163326970175
1993,494,40,NA,NA,NA,NA,NA,3,2,1,0,0,0,3,10788.02,4392.51,9.92910480499268,0,3,28.9158306121826,0.012026509270072,0,0,2,0,0,0,0,0,0,0,0,0,24,-0.571838356467675,0,0,1,6,3,0,3,3,2,1,0,0,-0.603869198973464
1994,516,40,NA,NA,NA,NA,NA,3,2,1,0,0,0,3,10844.61,4626.34,11.0782918930054,0,3,27.7758960723877,0.0455211289227009,0,0,2,0,0,0,0,0,0,0,0,0,22.7999992370605,-0.513121692038365,0,0,0,7,1,2,3,3,2,1,0,0,-0.571838356467675
1995,517,40,NA,NA,NA,NA,NA,3,2,1,0,0,0,4,10896.8,4683.87,12.8478155136108,0,3,29.3084182739258,0.01774643920362,0,0,2,0,0,0,0,0,0,0,1,0,21.7000007629395,-0.560197620011879,0,0,4,5,1.5,0,3,3,2,1,0,0,-0.513121692038365
1996,552,40,NA,NA,NA,NA,NA,3,2,1,0,0,0,3,10943.05,4992.26,16.0386753082275,0,3,32.6250228881836,0.0770266950130463,0,0,2,0,0,0,0,0,0,0,1,0,20.7000007629395,-0.481030998730452,0,0,3,3,0,0,3,4,2,1,0,0,-0.560197620011879
1997,584,40,NA,NA,NA,NA,NA,4,2,2,0,0,0,3,10983.01,5049.49,13.8840770721436,0,3,32.7546119689941,0.00402109883725643,0,0,2,0,0,0,0,0,0,0,1,0,19.7999992370605,-0.349970339410876,0,0,6,4,1.5,0,3,3,2,1,0,0,-0.481030998730452
1998,612,40,NA,NA,NA,NA,NA,3,2,1,0,0,0,3,11029.13,5074.87,7.55519151687622,0,3,32.5042953491211,0.0589821487665176,0,0,2,0,0,0,0,0,0,0,1,0,18.7999992370605,-0.259470207955837,0,0,3,15,2,0,4,3,2,2,0,0,-0.349970339410876
1999,645,40,NA,NA,NA,NA,NA,4,2,2,0,0,0,3,11082.75,5457.02,16.184103012085,0,3,31.8681621551514,0.0315526351332664,0,0,2,0,0,0,0,0,0,0,1,0,17.8999996185303,-0.105165126723983,0,0,3,10,4.5,0,3,3,2,1,0,0,-0.259470207955837
1981,133,41,-9,1,1,1,2,5,2,1,1,1,0,3,5090.99,1270.2,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,NA,0,0,33.2000007629395,-0.747382290624996,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,205,41,-9,1,1,1,2,5,2,1,1,1,1,3,5149.3,1288.1,0,0,0,NA,NA,1,0,0,0,0,1,1,0,0,NA,0,0,33.2000007629395,-0.619018756255914,0,0,NA,NA,NA,NA,5,3,2,1,1,1,-0.747382290624996
1983,211,41,-9,1,1,1,2,5,2,1,1,1,1,3,5247.76,1319.65,0,0,0,NA,NA,1,0,0,1,0,1,1,0,0,NA,0,0,33.2999992370605,-0.686486078346409,0,0,NA,NA,NA,NA,5,3,2,1,1,1,-0.619018756255914
1984,223,41,-9,1,1,1,2,3,2,1,0,0,0,3,5354.53,1403.37,0,0,0,NA,NA,1,0,0,1,0,0,0,0,0,NA,0,0,33.4000015258789,-0.767464563891652,0,0,NA,NA,NA,NA,5,3,2,1,1,1,-0.686486078346409
1985,223,41,-9,1,1,1,2,5,2,1,1,1,1,3,5468.72,1452.19,0,0,0,NA,NA,1,0,0,1,0,0,0,0,0,NA,0,0,33.4000015258789,-0.768277504442267,0,0,NA,NA,NA,NA,3,3,2,1,0,0,-0.767464563891652
1986,227,41,NA,NA,NA,NA,NA,3,1,1,1,0,1,3,5588.24,1489.05,0,0,0,NA,NA,1,0,0,1,0,1,1,0,0,NA,0,0,33.4000015258789,-0.916078265725903,0,0,NA,NA,NA,NA,5,3,2,1,1,1,-0.768277504442267
1987,240,41,NA,NA,NA,NA,NA,0,0,0,0,0,0,5,5710.06,1460.49,0,1,0,NA,NA,1,0,0,2,0,0,0,0,0,NA,0,0,33.2999992370605,-1.12560691166982,0,0,0,3,3,NA,3,3,1,1,1,0,-0.916078265725903
1988,253,41,NA,NA,NA,NA,NA,3,1,1,1,0,1,4,5832.69,1490.58,0,1,0,NA,NA,1,0,0,2,0,0,0,0,0,NA,0,0,33.2999992370605,-1.09054100232005,0,0,1,11,0.5,NA,0,5,0,0,0,0,-1.12560691166982
1989,266,41,NA,NA,NA,NA,NA,4,2,1,1,0,1,3,5955.34,1472.81,0,0,0,NA,NA,1,0,0,2,0,1,1,0,0,NA,0,0,33.2000007629395,-1.02512190407402,0,0,0,9,1.5,NA,3,4,1,1,1,0,-1.09054100232005
1990,271,41,7,3,4,6,3,2,2,0,0,0,0,4,6074.77,1551.12,0,1,0,NA,NA,1,0,0,2,0,0,0,0,0,NA,0,0,33.0999984741211,-1.28086155701545,0,0,0,4,0,NA,4,3,2,1,1,0,-1.02512190407402
1991,280,41,NA,NA,NA,NA,NA,3,2,0,0,1,0,4,6173.86,1429.16,0,0,0,39.8074913024902,-0.0517785027623177,1,0,0,2,0,0,0,0,0,NA,0,1,33.2999992370605,-1.4317376858927,0,0,0,3,0.5,NA,2,4,2,0,0,0,-1.28086155701545
1992,274,41,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,6272.45,1433.08,0,1,0,32.5376892089844,-0.104195982217789,1,0,0,2,0,0,0,0,0,0,0,1,33.5,-1.46311876742326,0,0,0,7,0.5,NA,3,4,2,0,0,1,-1.4317376858927
1993,283,41,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,6387.9,1586.31,0,1,0,48.7522659301758,-0.155014246702194,1,0,0,2,0,0,0,0,0,0,0,1,33.7000007629395,-1.43972670849242,0,0,2,9,0.5,0,0,4,0,0,0,0,-1.46311876742326
1994,287,41,7,3,4,6,3,0,0,0,0,0,0,5,6500.21,1563.38,0,1,0,31.1336402893066,-0.131768822669983,1,0,0,2,0,0,0,0,0,0,0,1,33.9000015258789,-1.25674415600102,0,0,0,6,2.5,0,0,4,0,0,0,0,-1.43972670849242
1995,287,41,7,3,4,6,3,6,2,2,2,0,0,2,6613.61,1657.01,0,0,0,37.8477249145508,0.274531662464142,1,0,0,2,0,1,1,0,0,0,0,1,34,-0.530960396569329,0,0,17,6,6.5,0,0,5,0,0,0,0,-1.25674415600102
1996,295,41,7,2,4,7,3,5,2,1,1,1,0,3,6726.53,1667.18,0,0,0,40.2242431640625,0.138006940484047,1,0,0,2,0,1,1,0,0,0,0,1,34.4000015258789,-0.411080841342768,0,0,0,0,0.5,0,6,2,2,2,2,0,-0.530960396569329
1997,297,41,7,2,4,7,3,5,2,1,2,0,0,2,6837.26,1742.57,0,0,0,36.8947334289551,0.123355239629745,1,0,0,2,0,0,0,0,0,0,0,1,34.7999992370605,-0.34082830531743,0,0,1,3,0.5,0,5,3,2,1,1,1,-0.411080841342768
1998,301,41,7,2,4,7,3,3,2,1,0,0,0,3,6951.62,1810.65,0,0,0,36.5207862854004,0.286360591650009,1,0,0,2,0,0,0,0,0,0,0,1,35.2000007629395,-0.425148387199665,0,0,0,0,0,0,5,2,2,1,2,0,-0.34082830531743
