YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
1987,516,6,2,2,1,1,1
1988,516,3,1,0,1,1,1
1989,516,5,1,2,1,1,1
1990,516,4,2,1,0,1,1
1991,516,0,0,0,0,0,0
1992,516,5,2,2,0,1,1
1993,516,,-77,-77,-77,-77,-77
1994,516,,-77,-77,-77,-77,-77
1995,516,,-77,-77,-77,-77,-77
1996,516,1,0,0,0,1,0
1997,516,0,0,0,0,0,0
1998,516,0,0,0,0,0,0
1999,516,1,0,0,0,1,0
2000,516,1,1,0,0,0,0
2001,516,1,1,0,0,0,0
2002,516,0,0,0,0,0,0
2003,516,0,0,0,0,0,0
2004,516,0,0,0,0,0,0
2005,516,3,2,1,0,0,0
2006,516,1,1,0,0,0,0
2007,516,3,2,1,0,0,0
2008,516,1,1,0,0,0,0
2009,516,3,2,1,0,0,0
2010,516,2,1,1,0,0,0
1981,811,,-66,-66,-66,-66,-66
1982,811,,-66,-66,-66,-66,-66
1983,811,,-66,-66,-66,-66,-66
1984,811,,-66,-66,-66,-66,-66
1985,811,,-66,-66,-66,-66,-66
1986,811,,-66,-66,-66,-66,-66
1987,811,,-66,-66,-66,-66,-66
1988,811,1,1,0,0,0,0
1989,811,1,0,1,0,0,0
1990,811,1,1,0,0,0,0
1991,811,3,1,1,0,1,0
1992,811,1,1,0,0,0,0
1993,811,2,1,0,1,0,0
1994,811,1,1,0,0,0,0
1995,811,2,0,1,1,0,0
1996,811,2,1,0,1,0,0
1997,811,2,1,0,1,0,0
1998,811,0,0,0,0,0,0
1999,811,3,1,0,2,0,0
2000,811,4,1,1,2,0,0
2001,811,5,2,1,2,0,0
2002,811,5,2,1,2,0,0
2003,811,4,2,0,2,0,0
2004,811,4,2,0,2,0,0
2005,811,4,2,1,1,0,0
2006,811,3,2,0,1,0,0
2007,811,2,1,0,1,0,0
2008,811,3,2,0,1,0,0
2009,811,3,2,1,0,0,0
2010,811,4,2,1,1,0,0
1981,471,3,1,1,0,1,1
1982,471,5,1,2,1,1,2
1983,471,6,2,2,1,1,2
1984,471,3,2,1,0,0,1
1985,471,2,2,0,0,0,1
1986,471,5,2,2,0,1,1
1987,471,6,2,1,1,2,1
1988,471,4,2,1,0,1,1
1989,471,4,2,1,0,1,2
1990,471,2,2,0,0,0,1
1991,471,0,0,0,0,0,1
1992,471,3,2,1,0,0,1
1993,471,1,1,0,0,0,1
1994,471,2,2,0,0,0,1
1995,471,4,2,2,0,0,1
1996,471,4,2,1,1,0,1
1997,471,3,2,1,0,0,1
1998,471,1,1,0,0,0,1
1999,471,2,1,0,1,0,1
2000,471,1,1,0,0,0,1
2001,471,2,1,0,1,0,1
2002,471,2,1,0,1,0,1
2003,471,4,2,1,1,0,1
2004,471,4,2,1,1,0,1
2005,471,4,2,1,1,0,0
2006,471,4,2,1,1,0,0
2007,471,4,2,1,1,0,0
2008,471,3,2,0,1,0,0
2009,471,4,2,1,1,0,0
2010,471,3,2,1,0,0,0
1981,20,8,2,2,2,2,2
1982,20,7,2,2,2,1,2
1983,20,7,2,2,2,1,2
1984,20,7,2,2,2,1,2
1985,20,8,2,2,2,2,2
1986,20,8,2,2,2,2,2
1987,20,8,2,2,2,2,2
1988,20,8,2,2,2,2,2
1989,20,8,2,2,2,2,2
1990,20,8,2,2,2,2,2
1991,20,8,2,2,2,2,2
1992,20,7,2,2,2,1,2
1993,20,8,2,2,2,2,2
1994,20,7,2,2,2,1,2
1995,20,8,2,2,2,2,2
1996,20,8,2,2,2,2,2
1997,20,8,2,2,2,2,2
1998,20,7,2,2,2,1,2
1999,20,8,2,2,2,2,2
2000,20,7,2,2,2,1,2
2001,20,7,2,2,2,1,2
2002,20,7,2,2,2,1,2
2003,20,7,2,2,2,1,2
2004,20,7,2,2,2,1,2
2005,20,6,2,1,2,1,2
2006,20,6,2,1,2,1,2
2007,20,6,2,1,2,1,2
2008,20,6,2,1,2,1,2
2009,20,8,2,2,2,2,2
2010,20,6,2,1,2,1,2
1981,402,,,,,,1
1982,402,,,,,,1
1983,402,,,,,,1
1984,402,,,,,,1
1985,402,,,,,,1
1986,402,,,,,,1
1987,402,,,,,,1
1988,402,,,,,,1
1989,402,,,,,,2
1990,402,,,,,,2
1991,402,,,,,,2
1992,402,,,,,,2
1993,402,,,,,,2
1994,402,,,,,,2
1995,402,,,,,,2
1996,402,,,,,,2
1997,402,,,,,,2
1998,402,,,,,,1
1999,402,,,,,,1
2000,402,,,,,,1
2001,402,7,2,2,2,1,2
2002,402,,,,,,2
2003,402,7,2,2,2,1,2
2004,402,7,2,2,2,1,2
2005,402,7,2,2,2,1,2
2006,402,7,2,2,2,1,2
2007,402,7,2,2,2,1,2
2008,402,7,2,2,2,1,2
2009,402,7,2,2,2,1,2
2010,402,7,2,2,2,1,2
1981,482,5,2,1,1,1,1
1982,482,4,2,2,0,0,1
1983,482,4,2,2,0,0,1
1984,482,4,2,2,0,0,1
1985,482,5,2,2,0,1,2
1986,482,5,2,1,1,1,2
1987,482,4,2,1,1,0,1
1988,482,6,2,2,1,1,2
1989,482,6,2,2,1,1,2
1990,482,4,2,1,0,1,1
1991,482,3,2,1,0,0,1
1992,482,4,2,1,1,0,0
1993,482,6,2,1,2,1,1
1994,482,5,2,1,2,0,1
1995,482,5,2,1,2,0,1
1996,482,5,2,1,2,0,1
1997,482,6,2,2,2,0,1
1998,482,4,2,1,1,0,1
1999,482,5,2,1,2,0,1
2000,482,3,2,1,0,0,1
2001,482,2,2,0,0,0,1
2002,482,4,2,0,2,0,1
2003,482,4,2,0,2,0,1
2004,482,3,2,0,1,0,1
2005,482,3,2,0,1,0,0
2006,482,3,2,0,1,0,0
2007,482,3,2,0,1,0,0
2008,482,3,2,0,1,0,0
2009,482,2,1,0,1,0,0
2010,482,2,1,0,1,0,0
1981,483,,-77,-77,-77,-77,-77
1982,483,,-77,-77,-77,-77,-77
1983,483,,-77,-77,-77,-77,-77
1984,483,0,0,0,0,0,1
1985,483,2,0,0,1,1,0
1986,483,2,1,1,0,0,1
1987,483,4,2,1,0,1,1
1988,483,5,2,1,1,1,0
1989,483,1,0,1,0,0,1
1990,483,0,0,0,0,0,1
1991,483,3,2,0,1,0,1
1992,483,1,1,0,0,0,0
1993,483,1,0,0,1,0,0
1994,483,3,1,0,1,1,0
1995,483,3,2,1,0,0,0
1996,483,3,1,0,1,1,0
1997,483,2,1,0,1,0,0
1998,483,1,1,0,0,0,0
1999,483,3,2,0,1,0,0
2000,483,3,1,1,1,0,0
2001,483,3,1,0,1,1,0
2002,483,4,2,0,2,0,0
2003,483,4,1,1,2,0,0
2004,483,2,1,0,1,0,0
2005,483,2,0,0,1,1,0
2006,483,2,1,0,0,1,0
2007,483,4,1,1,1,1,0
2008,483,2,1,0,1,0,0
2009,483,2,1,1,0,0,0
2010,483,4,2,1,1,0,0
1981,155,1,1,0,0,0,1
1982,155,3,2,1,0,0,1
1983,155,3,2,1,0,0,1
1984,155,1,1,0,0,0,1
1985,155,3,2,1,0,0,1
1986,155,3,2,1,0,0,0
1987,155,2,1,1,0,0,1
1988,155,4,2,2,0,0,0
1989,155,2,1,1,0,0,0
1990,155,3,1,1,0,1,1
1991,155,5,2,2,0,1,1
1992,155,4,2,1,1,0,1
1993,155,3,0,1,1,1,1
1994,155,5,2,1,2,0,0
1995,155,4,2,2,0,0,1
1996,155,5,2,1,1,1,1
1997,155,5,2,2,1,0,1
1998,155,2,1,1,0,0,1
1999,155,4,2,1,1,0,1
2000,155,4,2,1,1,0,2
2001,155,6,2,2,2,0,2
2002,155,8,2,2,2,2,2
2003,155,6,2,2,1,1,2
2004,155,6,2,2,1,1,2
2005,155,7,2,2,2,1,2
2006,155,7,2,2,2,1,2
2007,155,7,2,2,2,1,2
2008,155,5,2,1,1,1,2
2009,155,5,2,1,1,1,2
2010,155,7,2,1,2,2,2
1981,710,2,2,0,0,0,1
1982,710,3,2,0,0,1,1
1983,710,2,2,0,0,0,1
1984,710,2,2,0,0,0,1
1985,710,4,1,1,1,1,1
1986,710,3,2,1,0,0,1
1987,710,4,2,2,0,0,1
1988,710,2,1,1,0,0,0
1989,710,0,0,0,0,0,0
1990,710,2,1,1,0,0,1
1991,710,4,2,2,0,0,0
1992,710,3,2,1,0,0,0
1993,710,3,2,1,0,0,0
1994,710,0,0,0,0,0,0
1995,710,0,0,0,0,0,0
1996,710,3,2,1,0,0,0
1997,710,2,2,0,0,0,0
1998,710,2,2,0,0,0,0
1999,710,2,2,0,0,0,0
2000,710,3,2,1,0,0,0
2001,710,2,2,0,0,0,0
2002,710,1,1,0,0,0,0
2003,710,1,1,0,0,0,0
2004,710,1,1,0,0,0,0
2005,710,0,0,0,0,0,0
2006,710,1,1,0,0,0,0
2007,710,1,1,0,0,0,0
2008,710,1,1,0,0,0,0
2009,710,0,0,0,0,0,0
2010,710,0,0,0,0,0,0
1981,100,1,1,0,0,0,1
1982,100,3,1,0,1,1,1
1983,100,,0,0,-999,0,2
1984,100,1,0,0,1,0,1
1985,100,1,0,0,1,0,1
1986,100,2,0,0,1,1,2
1987,100,0,0,0,0,0,2
1988,100,0,0,0,0,0,2
1989,100,1,0,0,1,0,2
1990,100,0,0,0,0,0,2
1991,100,2,0,0,2,0,1
1992,100,2,0,0,2,0,1
1993,100,2,0,0,2,0,1
1994,100,,0,0,-999,0,1
1995,100,0,0,0,0,0,1
1996,100,0,0,0,0,0,1
1997,100,0,0,0,0,0,1
1998,100,0,0,0,0,0,1
1999,100,1,0,1,0,0,1
2000,100,0,0,0,0,0,1
2001,100,1,0,0,1,0,1
2002,100,2,0,0,2,0,1
2003,100,0,0,0,0,0,1
2004,100,0,0,0,0,0,1
2005,100,0,0,0,0,0,1
2006,100,0,0,0,0,0,0
2007,100,0,0,0,0,0,0
2008,100,0,0,0,0,0,0
2009,100,1,0,0,0,1,0
2010,100,1,0,0,0,1,0
1981,581,,,,,,1
1982,581,,,,,,1
1983,581,,,,,,1
1984,581,,,,,,1
1985,581,,,,,,1
1986,581,,,,,,1
1987,581,,,,,,1
1988,581,,,,,,1
1989,581,,,,,,1
1990,581,,,,,,1
1991,581,,,,,,1
1992,581,,,,,,1
1993,581,,,,,,1
1994,581,,,,,,1
1995,581,,,,,,1
1996,581,,,,,,1
1997,581,,,,,,1
1998,581,,,,,,1
1999,581,,,,,,0
2000,581,,,,,,0
2001,581,8,2,2,2,2,1
2002,581,,,,,,1
2003,581,6,2,1,2,1,1
2004,581,7,2,2,1,2,1
2005,581,8,2,2,2,2,1
2006,581,7,2,2,1,2,1
2007,581,5,0,2,2,1,1
2008,581,5,0,2,2,1,1
2009,581,8,2,2,2,2,0
2010,581,8,2,2,2,2,1
1981,490,,0,-999,0,1,0
1982,490,4,1,2,0,1,1
1983,490,2,1,1,0,0,1
1984,490,2,2,0,0,0,0
1985,490,1,1,0,0,0,1
1986,490,2,1,1,0,0,1
1987,490,3,1,2,0,0,0
1988,490,2,1,1,0,0,0
1989,490,3,1,1,0,1,1
1990,490,0,0,0,0,0,0
1991,490,1,0,0,1,0,0
1992,490,,-77,-77,-77,-77,-77
1993,490,,-77,-77,-77,-77,-77
1994,490,,-77,-77,-77,-77,-77
1995,490,,-77,-77,-77,-77,-77
1996,490,,-77,-77,-77,-77,-77
1997,490,,-77,-77,-77,-77,-77
1998,490,,-77,-77,-77,-77,-77
1999,490,,-77,-77,-77,-77,-77
2000,490,,-77,-77,-77,-77,-77
2001,490,0,0,0,0,0,0
2002,490,2,2,0,0,0,0
2003,490,1,0,0,1,0,0
2004,490,1,0,0,1,0,0
2005,490,2,2,0,0,0,1
2006,490,1,1,0,0,0,0
2007,490,1,1,0,0,0,0
2008,490,1,1,0,0,0,0
2009,490,1,1,0,0,0,0
2010,490,1,1,0,0,0,0
1981,484,7,2,2,1,2,1
1982,484,5,2,2,0,1,1
1983,484,5,2,2,0,1,1
1984,484,6,2,2,1,1,0
1985,484,4,2,1,1,0,1
1986,484,5,2,1,1,1,1
1987,484,5,2,2,0,1,0
1988,484,5,2,2,1,0,1
1989,484,5,2,2,1,0,0
1990,484,4,2,1,1,0,1
1991,484,6,2,2,1,1,-999
1992,484,5,2,1,1,1,2
1993,484,0,0,0,0,0,1
1994,484,3,1,0,2,0,1
1995,484,4,2,1,1,0,1
1996,484,4,2,1,1,0,1
1997,484,1,1,0,0,0,0
1998,484,3,1,0,1,1,0
1999,484,0,0,0,0,0,1
2000,484,3,1,1,0,1,1
2001,484,4,2,1,0,1,1
2002,484,2,1,0,1,0,1
2003,484,5,1,1,2,1,1
2004,484,6,2,1,2,1,1
2005,484,4,2,1,1,0,1
2006,484,4,2,1,1,0,0
2007,484,4,2,1,1,0,0
2008,484,4,2,1,1,0,0
2009,484,7,2,2,1,2,0
2010,484,5,2,1,1,1,0
1981,94,8,2,2,2,2,2
1982,94,8,2,2,2,2,2
1983,94,8,2,2,2,2,2
1984,94,7,2,2,1,2,2
1985,94,8,2,2,2,2,2
1986,94,8,2,2,2,2,2
1987,94,8,2,2,2,2,2
1988,94,8,2,2,2,2,2
1989,94,8,2,2,2,2,2
1990,94,8,2,2,2,2,2
1991,94,8,2,2,2,2,2
1992,94,5,2,1,1,1,2
1993,94,8,2,2,2,2,2
1994,94,7,2,2,2,1,2
1995,94,7,2,2,2,1,2
1996,94,7,2,2,2,1,2
1997,94,7,2,2,2,1,2
1998,94,7,2,2,2,1,2
1999,94,7,2,2,2,1,2
2000,94,6,2,2,1,1,2
2001,94,7,2,2,2,1,2
2002,94,7,2,2,2,1,2
2003,94,7,2,2,2,1,2
2004,94,7,2,2,2,1,2
2005,94,7,2,2,2,1,2
2006,94,7,2,2,2,1,2
2007,94,6,2,1,2,1,2
2008,94,7,2,2,2,1,2
2009,94,7,2,2,2,1,2
2010,94,7,2,2,2,1,2
1981,437,8,2,2,2,2,2
1982,437,8,2,2,2,2,2
1983,437,7,2,2,2,1,1
1984,437,8,2,2,2,2,2
1985,437,8,2,2,2,2,2
1986,437,8,2,2,2,2,2
1987,437,7,2,2,1,2,1
1988,437,7,2,2,1,2,2
1989,437,7,2,2,1,2,2
1990,437,5,2,2,0,1,1
1991,437,5,2,1,1,1,1
1992,437,3,2,1,0,0,1
1993,437,4,2,1,0,1,1
1994,437,4,2,1,0,1,1
1995,437,1,1,0,0,0,1
1996,437,4,2,1,0,1,1
1997,437,5,2,1,1,1,1
1998,437,3,2,1,0,0,1
1999,437,3,2,0,0,1,1
2000,437,1,1,0,0,0,1
2001,437,2,1,0,1,0,1
2002,437,3,1,0,1,1,1
2003,437,2,1,0,1,0,1
2004,437,2,1,0,1,0,1
2005,437,2,1,0,1,0,0
2006,437,2,1,0,1,0,0
2007,437,3,2,0,1,0,0
2008,437,3,1,1,1,0,0
2009,437,3,1,1,1,0,0
2010,437,2,1,0,1,0,0
1981,344,,,,,,
1982,344,,,,,,
1983,344,,,,,,
1984,344,,,,,,
1985,344,,,,,,
1986,344,,,,,,
1987,344,,,,,,
1988,344,,,,,,
1989,344,,,,,,
1990,344,,,,,,
1991,344,,,,,,
1992,344,2,0,0,1,1,1
1993,344,2,1,1,0,0,1
1994,344,4,1,1,1,1,1
1995,344,2,1,0,0,1,1
1996,344,7,2,1,2,2,1
1997,344,8,2,2,2,2,1
1998,344,5,2,1,1,1,1
1999,344,7,2,2,2,1,1
2000,344,6,1,2,2,1,1
2001,344,6,2,2,1,1,1
2002,344,7,2,2,1,2,1
2003,344,7,2,2,2,1,1
2004,344,7,2,2,2,1,1
2005,344,7,2,2,2,1,1
2006,344,8,2,2,2,2,1
2007,344,8,2,2,2,2,1
2008,344,8,2,2,2,2,1
2009,344,8,2,2,2,2,1
2010,344,5,2,2,0,1,2
1981,40,4,1,2,0,1,0
1982,40,2,1,1,0,0,0
1983,40,1,0,1,0,0,0
1984,40,2,1,1,0,0,0
1985,40,3,1,1,1,0,0
1986,40,1,1,0,0,0,0
1987,40,2,1,1,0,0,0
1988,40,4,2,2,0,0,0
1989,40,3,2,1,0,0,1
1990,40,3,2,1,0,0,0
1991,40,4,2,2,0,0,1
1992,40,3,2,1,0,0,0
1993,40,3,2,1,0,0,0
1994,40,3,2,1,0,0,0
1995,40,3,2,1,0,0,0
1996,40,3,2,1,0,0,0
1997,40,4,2,2,0,0,0
1998,40,3,2,1,0,0,0
1999,40,4,2,2,0,0,0
2000,40,4,2,1,0,1,0
2001,40,5,2,2,0,1,0
2002,40,4,2,2,0,0,0
2003,40,4,2,2,0,0,0
2004,40,4,2,2,0,0,0
2005,40,4,2,2,0,0,0
2006,40,4,2,2,0,0,0
2007,40,3,2,1,0,0,1
2008,40,4,2,2,0,0,0
2009,40,4,2,2,0,0,0
2010,40,4,2,2,0,0,0
1981,352,7,1,2,2,2,2
1982,352,8,2,2,2,2,2
1983,352,8,2,2,2,2,2
1984,352,6,1,1,2,2,2
1985,352,8,2,2,2,2,2
1986,352,8,2,2,2,2,2
1987,352,7,1,2,2,2,2
1988,352,8,2,2,2,2,2
1989,352,8,2,2,2,2,2
1990,352,7,1,2,2,2,2
1991,352,5,1,2,1,1,2
1992,352,7,2,2,2,1,2
1993,352,6,2,2,1,1,2
1994,352,6,2,2,1,1,2
1995,352,5,1,2,1,1,2
1996,352,7,2,1,2,2,2
1997,352,7,2,2,2,1,2
1998,352,7,2,2,2,1,2
1999,352,7,2,2,2,1,2
2000,352,7,2,2,2,1,2
2001,352,7,2,2,2,1,2
2002,352,7,2,2,2,1,2
2003,352,7,2,2,2,1,2
2004,352,7,2,2,2,1,2
2005,352,7,2,2,2,1,2
2006,352,7,2,2,2,1,2
2007,352,7,2,2,2,1,2
2008,352,7,2,2,2,1,2
2009,352,7,2,2,2,1,2
2010,352,7,2,2,2,1,2
1981,316,,,,,,
1982,316,,,,,,
1983,316,,,,,,
1984,316,,,,,,
1985,316,,,,,,
1986,316,,,,,,
1987,316,,,,,,
1988,316,,,,,,
1989,316,,,,,,
1990,316,,,,,,
1991,316,,,,,,
1992,316,,,,,,
1993,316,8,2,2,2,2,2
1994,316,6,2,1,2,1,2
1995,316,5,2,1,1,1,2
1996,316,8,2,2,2,2,2
1997,316,8,2,2,2,2,2
1998,316,7,2,2,2,1,2
1999,316,8,2,2,2,2,2
2000,316,7,2,2,2,1,2
2001,316,8,2,2,2,2,2
2002,316,8,2,2,2,2,2
2003,316,7,2,2,2,1,2
2004,316,6,2,1,2,1,2
2005,316,7,2,2,2,1,1
2006,316,7,2,2,2,1,1
2007,316,7,2,2,2,1,0
2008,316,7,2,2,2,1,0
2009,316,7,2,2,2,1,1
2010,316,8,2,2,2,2,1
1981,315,3,2,1,0,0,0
1982,315,5,2,2,0,1,0
1983,315,5,2,2,0,1,0
1984,315,5,2,1,0,2,0
1985,315,6,2,2,1,1,0
1986,315,5,2,1,1,1,0
1987,315,6,2,1,1,2,0
1988,315,5,2,2,0,1,0
1989,315,6,2,2,1,1,0
1990,315,8,2,2,2,2,2
1991,315,8,2,2,2,2,2
1992,315,8,2,2,2,2,2
1993,315,,,,,,
1994,315,,,,,,
1995,315,,,,,,
1996,315,,,,,,
1997,315,,,,,,
1998,315,,,,,,
1999,315,,,,,,
2000,315,,,,,,
2001,315,,,,,,
2002,315,,,,,,
2003,315,,,,,,
2004,315,,,,,,
2005,315,,,,,,
2006,315,,,,,,
2007,315,,,,,,
2008,315,,,,,,
2009,315,,,,,,
2010,315,,,,,,
1981,390,8,2,2,2,2,2
1982,390,8,2,2,2,2,2
1983,390,8,2,2,2,2,2
1984,390,8,2,2,2,2,2
1985,390,8,2,2,2,2,2
1986,390,8,2,2,2,2,2
1987,390,8,2,2,2,2,2
1988,390,8,2,2,2,2,2
1989,390,8,2,2,2,2,2
1990,390,8,2,2,2,2,2
1991,390,8,2,2,2,2,2
1992,390,8,2,2,2,2,2
1993,390,8,2,2,2,2,2
1994,390,8,2,2,2,2,2
1995,390,8,2,2,2,2,2
1996,390,8,2,2,2,2,2
1997,390,8,2,2,2,2,2
1998,390,8,2,2,2,2,2
1999,390,8,2,2,2,2,2
2000,390,7,2,2,2,1,2
2001,390,8,2,2,2,2,2
2002,390,8,2,2,2,2,2
2003,390,8,2,2,2,2,2
2004,390,8,2,2,2,2,2
2005,390,8,2,2,2,2,2
2006,390,8,2,2,2,2,2
2007,390,6,2,2,0,2,2
2008,390,8,2,2,2,2,2
2009,390,7,2,2,2,1,2
2010,390,8,2,2,2,2,2
1981,522,,,,,,2
1982,522,,,,,,2
1983,522,,,,,,1
1984,522,,,,,,1
1985,522,,,,,,2
1986,522,,,,,,2
1987,522,,,,,,1
1988,522,,,,,,1
1989,522,,,,,,1
1990,522,,,,,,1
1991,522,,,,,,1
1992,522,,,,,,1
1993,522,,,,,,1
1994,522,,,,,,1
1995,522,,,,,,1
1996,522,,,,,,0
1997,522,,,,,,0
1998,522,,,,,,0
1999,522,,,,,,0
2000,522,,,,,,0
2001,522,6,2,1,2,1,0
2002,522,,,,,,0
2003,522,4,2,1,1,0,0
2004,522,5,2,1,1,1,0
2005,522,5,2,1,1,1,0
2006,522,6,2,2,1,1,0
2007,522,6,2,2,1,1,0
2008,522,7,2,2,2,1,1
2009,522,6,2,2,1,1,1
2010,522,7,2,2,2,1,1
1981,54,,,,,,2
1982,54,,,,,,2
1983,54,,,,,,2
1984,54,,,,,,2
1985,54,,,,,,2
1986,54,,,,,,2
1987,54,,,,,,2
1988,54,,,,,,2
1989,54,,,,,,2
1990,54,,,,,,2
1991,54,,,,,,2
1992,54,,,,,,2
1993,54,,,,,,2
1994,54,,,,,,2
1995,54,,,,,,2
1996,54,,,,,,2
1997,54,,,,,,2
1998,54,,,,,,2
1999,54,,,,,,2
2000,54,,,,,,2
2001,54,7,2,2,2,1,2
2002,54,,,,,,2
2003,54,7,2,2,2,1,2
2004,54,7,2,2,2,1,2
2005,54,6,2,1,2,1,2
2006,54,7,2,2,2,1,2
2007,54,6,2,1,2,1,2
2008,54,7,2,2,2,1,2
2009,54,7,2,2,2,1,2
2010,54,8,2,2,2,2,2
1981,42,7,2,2,1,2,1
1982,42,6,2,1,2,1,1
1983,42,7,2,2,2,1,1
1984,42,6,2,2,1,1,1
1985,42,7,2,2,2,1,2
1986,42,6,2,1,2,1,2
1987,42,6,2,2,1,1,1
1988,42,8,2,2,2,2,2
1989,42,7,2,2,2,1,1
1990,42,5,2,1,1,1,1
1991,42,5,2,1,1,1,1
1992,42,4,2,1,1,0,1
1993,42,5,2,1,1,1,0
1994,42,2,1,1,0,0,0
1995,42,4,2,1,0,1,0
1996,42,4,2,0,1,1,0
1997,42,4,2,0,1,1,0
1998,42,2,2,0,0,0,1
1999,42,4,2,0,2,0,1
2000,42,4,2,0,2,0,1
2001,42,4,2,0,2,0,1
2002,42,5,2,0,2,1,1
2003,42,4,2,0,2,0,1
2004,42,4,2,0,2,0,1
2005,42,4,2,0,2,0,2
2006,42,3,2,0,1,0,1
2007,42,4,2,0,2,0,1
2008,42,4,2,0,2,0,0
2009,42,4,2,0,2,0,0
2010,42,4,2,0,2,0,0
1981,860,,,,,,
1982,860,,,,,,
1983,860,,,,,,
1984,860,,,,,,
1985,860,,,,,,
1986,860,,,,,,
1987,860,,,,,,
1988,860,,,,,,
1989,860,,,,,,
1990,860,,,,,,
1991,860,,,,,,
1992,860,,,,,,
1993,860,,,,,,
1994,860,,,,,,
1995,860,,,,,,
1996,860,,,,,,
1997,860,,,,,,
1998,860,,,,,,
1999,860,,,,,,
2000,860,,,,,,1
2001,860,7,2,1,2,2,1
2002,860,,,,,,1
2003,860,6,2,1,2,1,2
2004,860,7,2,2,2,1,2
2005,860,5,2,1,1,1,2
2006,860,6,2,1,2,1,1
2007,860,5,2,1,2,0,1
2008,860,7,2,2,2,1,1
2009,860,6,2,1,2,1,1
2010,860,7,2,2,2,1,1
1981,130,5,2,1,2,0,1
1982,130,7,2,2,2,1,2
1983,130,5,1,1,2,1,1
1984,130,5,2,1,1,1,1
1985,130,3,1,1,1,0,1
1986,130,3,1,1,1,0,1
1987,130,3,1,1,1,0,1
1988,130,4,2,1,1,0,1
1989,130,6,2,2,2,0,1
1990,130,4,1,1,2,0,1
1991,130,5,2,1,2,0,0
1992,130,3,1,1,1,0,0
1993,130,4,1,1,2,0,1
1994,130,6,2,1,2,1,1
1995,130,5,2,2,0,1,1
1996,130,4,1,1,2,0,1
1997,130,4,1,1,2,0,1
1998,130,6,2,2,2,0,1
1999,130,3,1,1,1,0,1
2000,130,6,2,2,2,0,1
2001,130,4,1,1,2,0,1
2002,130,5,2,1,2,0,1
2003,130,3,1,1,1,0,1
2004,130,5,1,1,2,1,1
2005,130,4,2,1,1,0,1
2006,130,4,2,1,1,0,0
2007,130,4,2,1,1,0,1
2008,130,4,2,1,1,0,1
2009,130,4,2,1,1,0,1
2010,130,5,2,1,2,0,1
1981,651,5,2,1,0,2,1
1982,651,4,2,2,0,0,2
1983,651,4,2,2,0,0,2
1984,651,4,2,1,0,1,1
1985,651,6,2,2,1,1,2
1986,651,5,2,2,0,1,1
1987,651,4,2,1,0,1,1
1988,651,4,2,2,0,0,1
1989,651,4,2,2,0,0,1
1990,651,4,2,1,0,1,1
1991,651,5,2,2,0,1,1
1992,651,4,2,2,0,0,1
1993,651,3,2,1,0,0,1
1994,651,3,2,1,0,0,1
1995,651,4,2,2,0,0,1
1996,651,3,2,1,0,0,1
1997,651,4,2,2,0,0,1
1998,651,5,2,2,1,0,1
1999,651,3,1,1,0,1,1
2000,651,4,2,2,0,0,1
2001,651,3,2,1,0,0,1
2002,651,2,1,1,0,0,1
2003,651,2,1,1,0,0,1
2004,651,2,1,1,0,0,1
2005,651,3,2,1,0,0,1
2006,651,3,2,1,0,0,0
2007,651,3,2,1,0,0,0
2008,651,2,1,1,0,0,0
2009,651,2,1,1,0,0,0
2010,651,3,2,1,0,0,0
1981,92,0,0,0,0,0,0
1982,92,0,0,0,0,0,0
1983,92,0,0,0,0,0,1
1984,92,0,0,0,0,0,0
1985,92,1,1,0,0,0,1
1986,92,1,0,0,0,1,1
1987,92,3,1,1,0,1,0
1988,92,1,1,0,0,0,1
1989,92,0,0,0,0,0,1
1990,92,1,0,1,0,0,0
1991,92,1,0,1,0,0,1
1992,92,5,2,1,1,1,1
1993,92,5,1,1,2,1,0
1994,92,6,2,1,2,1,1
1995,92,8,2,2,2,2,1
1996,92,5,1,1,2,1,1
1997,92,7,2,2,2,1,1
1998,92,6,2,2,2,0,1
1999,92,5,2,1,2,0,1
2000,92,6,2,2,2,0,1
2001,92,7,2,2,2,1,1
2002,92,6,2,1,2,1,1
2003,92,5,2,1,2,0,1
2004,92,5,2,1,2,0,1
2005,92,5,2,1,1,1,1
2006,92,5,2,1,2,0,0
2007,92,4,2,1,1,0,0
2008,92,5,2,1,2,0,0
2009,92,5,2,1,2,0,0
2010,92,5,2,1,2,0,0
1981,411,,,,,,1
1982,411,,,,,,1
1983,411,,,,,,1
1984,411,,,,,,1
1985,411,,,,,,1
1986,411,,,,,,0
1987,411,,,,,,0
1988,411,,,,,,0
1989,411,,,,,,0
1990,411,,,,,,0
1991,411,,,,,,0
1992,411,,,,,,0
1993,411,,,,,,0
1994,411,,,,,,0
1995,411,,,,,,0
1996,411,,,,,,0
1997,411,,,,,,0
1998,411,,,,,,0
1999,411,,,,,,0
2000,411,,,,,,0
2001,411,3,2,1,0,0,0
2002,411,,,,,,0
2003,411,4,2,1,0,1,0
2004,411,3,2,1,0,0,0
2005,411,2,1,1,0,0,0
2006,411,3,2,1,0,0,0
2007,411,3,2,1,0,0,0
2008,411,2,1,1,0,0,0
2009,411,3,2,1,0,0,0
2010,411,3,1,1,1,0,0
1981,531,,,,,,
1982,531,,,,,,
1983,531,,,,,,
1984,531,,,,,,
1985,531,,,,,,
1986,531,,,,,,
1987,531,,,,,,
