YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
1996,160,5,2,1,1,1,1
1997,160,5,2,1,1,1,1
1998,160,3,2,0,1,0,1
1999,160,4,2,1,1,0,1
2000,160,3,2,0,1,0,1
2001,160,3,2,0,1,0,1
2002,160,4,2,1,1,0,1
2003,160,5,2,0,2,1,1
2004,160,4,2,0,2,0,1
2005,160,6,2,1,2,1,1
2006,160,5,1,1,2,1,1
2007,160,6,2,1,2,1,1
2008,160,5,2,1,1,1,0
2009,160,5,2,1,2,0,0
2010,160,4,2,1,1,0,0
1981,371,,,,,,
1982,371,,,,,,
1983,371,,,,,,
1984,371,,,,,,
1985,371,,,,,,
1986,371,,,,,,
1987,371,,,,,,
1988,371,,,,,,
1989,371,,,,,,
1990,371,,,,,,
1991,371,,,,,,
1992,371,8,2,2,2,2,1
1993,371,7,2,2,2,1,1
1994,371,7,2,2,2,1,1
1995,371,5,2,2,1,0,1
1996,371,5,2,2,0,1,1
1997,371,5,2,2,1,0,1
1998,371,4,2,1,1,0,1
1999,371,6,2,2,2,0,1
2000,371,4,2,1,1,0,1
2001,371,6,2,2,2,0,1
2002,371,6,2,2,2,0,1
2003,371,6,2,2,1,1,1
2004,371,4,2,2,0,0,1
2005,371,5,2,2,1,0,0
2006,371,5,2,2,1,0,0
2007,371,3,2,1,0,0,0
2008,371,3,2,1,0,0,0
2009,371,3,2,1,0,0,0
2010,371,3,2,1,0,0,0
1981,900,8,2,2,2,2,2
1982,900,8,2,2,2,2,2
1983,900,7,2,2,2,1,2
1984,900,8,2,2,2,2,2
1985,900,8,2,2,2,2,2
1986,900,7,2,2,2,1,2
1987,900,8,2,2,2,2,2
1988,900,6,2,2,1,1,2
1989,900,7,2,2,2,1,2
1990,900,7,2,2,2,1,2
1991,900,7,2,2,2,1,2
1992,900,7,2,2,2,1,2
1993,900,8,2,2,2,2,2
1994,900,6,2,2,1,1,2
1995,900,8,2,2,2,2,2
1996,900,7,2,2,2,1,2
1997,900,7,2,2,2,1,2
1998,900,7,2,2,2,1,2
1999,900,7,2,2,2,1,2
2000,900,7,2,2,2,1,2
2001,900,7,2,2,2,1,2
2002,900,7,2,2,2,1,2
2003,900,7,2,2,2,1,2
2004,900,7,2,2,2,1,2
2005,900,7,2,2,2,1,2
2006,900,7,2,2,2,1,2
2007,900,7,2,2,2,1,2
2008,900,7,2,2,2,1,2
2009,900,6,2,1,2,1,2
2010,900,7,2,2,2,1,2
1981,305,8,2,2,2,2,2
1982,305,8,2,2,2,2,2
1983,305,8,2,2,2,2,2
1984,305,8,2,2,2,2,2
1985,305,8,2,2,2,2,2
1986,305,8,2,2,2,2,2
1987,305,8,2,2,2,2,2
1988,305,6,2,2,1,1,2
1989,305,7,2,2,2,1,2
1990,305,7,2,2,2,1,2
1991,305,7,2,2,2,1,2
1992,305,7,2,2,2,1,2
1993,305,7,2,2,2,1,2
1994,305,7,2,2,2,1,2
1995,305,7,2,2,2,1,2
1996,305,8,2,2,2,2,2
1997,305,8,2,2,2,2,2
1998,305,6,2,2,2,0,2
1999,305,7,2,2,2,1,2
2000,305,5,2,1,2,0,2
2001,305,7,2,2,2,1,2
2002,305,7,2,2,2,1,2
2003,305,6,2,1,2,1,2
2004,305,7,2,2,2,1,2
2005,305,7,2,2,2,1,2
2006,305,7,2,2,2,1,2
