country	year	INGO_uia
St. Vincent and th	1981	26
St. Vincent and th	1982	54
St. Vincent and th	1983	57
St. Vincent and th	1984	75
St. Vincent and th	1985	75
St. Vincent and th	1986	79
St. Vincent and th	1987	84
St. Vincent and th	1988	103
St. Vincent and th	1989	113
St. Vincent and th	1990	120
St. Vincent and th	1991	117
St. Vincent and th	1992	118
St. Vincent and th	1993	130
St. Vincent and th	1994	138
St. Vincent and th	1995	143
St. Vincent and th	1996	151
St. Vincent and th	1997	151
St. Vincent and th	1998	151
St. Vincent and th	1999	153
Antigua and Barbud	1981	39
Antigua and Barbud	1982	80
Antigua and Barbud	1983	84
Antigua and Barbud	1984	103
Antigua and Barbud	1985	103
Antigua and Barbud	1986	108
Antigua and Barbud	1987	115
Antigua and Barbud	1988	125
Antigua and Barbud	1989	127
Antigua and Barbud	1990	134
Antigua and Barbud	1991	137
Antigua and Barbud	1992	141
Antigua and Barbud	1993	151
Antigua and Barbud	1994	160
Antigua and Barbud	1995	161
Antigua and Barbud	1996	169
Antigua and Barbud	1997	177
Antigua and Barbud	1998	176
Antigua and Barbud	1999	168
St. Kitts and Nevi	1983	49
St. Kitts and Nevi	1984	65
St. Kitts and Nevi	1985	65
St. Kitts and Nevi	1986	0
St. Kitts and Nevi	1987	70
St. Kitts and Nevi	1988	79
St. Kitts and Nevi	1989	82
St. Kitts and Nevi	1990	94
St. Kitts and Nevi	1991	95
St. Kitts and Nevi	1992	94
St. Kitts and Nevi	1993	99
St. Kitts and Nevi	1994	107
St. Kitts and Nevi	1995	112
St. Kitts and Nevi	1996	123
St. Kitts and Nevi	1997	122
St. Kitts and Nevi	1998	126
St. Kitts and Nevi	1999	124
Mexico	1966	459
Mexico	1977	670
Mexico	1978	670
Mexico	1979	670
Mexico	1980	670
Mexico	1981	670
Mexico	1982	921
Mexico	1983	948
Mexico	1984	1005
Mexico	1985	1005
Mexico	1986	940
Mexico	1987	1049
Mexico	1988	1138
Mexico	1989	1207
Mexico	1990	1239
Mexico	1991	1260
Mexico	1992	1297
Mexico	1993	1334
Mexico	1994	1381
Mexico	1995	1391
Mexico	1996	1458
Mexico	1997	1482
Mexico	1998	1501
Mexico	1999	1544
Belize	1981	48
Belize	1982	86
Belize	1983	89
Belize	1984	101
Belize	1985	101
Belize	1986	112
Belize	1987	128
Belize	1988	142
Belize	1989	149
Belize	1990	158
Belize	1991	163
Belize	1992	163
Belize	1993	176
Belize	1994	184
Belize	1995	188
Belize	1996	194
Belize	1997	199
Belize	1998	200
Belize	1999	204
Guatemala	1966	179
Guatemala	1977	259
Guatemala	1978	259
Guatemala	1979	259
Guatemala	1980	259
Guatemala	1981	259
Guatemala	1982	362
Guatemala	1983	376
Guatemala	1984	389
Guatemala	1985	389
Guatemala	1986	383
Guatemala	1987	407
Guatemala	1988	429
Guatemala	1989	460
Guatemala	1990	477
Guatemala	1991	482
Guatemala	1992	508
Guatemala	1993	516
Guatemala	1994	534
Guatemala	1995	541
Guatemala	1996	571
Guatemala	1997	577
Guatemala	1998	589
Guatemala	1999	577
Honduras	1966	104
Honduras	1977	150
Honduras	1978	150
Honduras	1979	150
Honduras	1980	150
Honduras	1981	150
Honduras	1982	243
Honduras	1983	248
Honduras	1984	272
Honduras	1985	272
Honduras	1986	288
Honduras	1987	308
Honduras	1988	334
Honduras	1989	351
Honduras	1990	363
Honduras	1991	364
Honduras	1992	383
Honduras	1993	396
Honduras	1994	400
Honduras	1995	402
Honduras	1996	420
Honduras	1997	423
Honduras	1998	429
Honduras	1999	424
El Salvador	1966	138
El Salvador	1977	210
El Salvador	1978	210
El Salvador	1979	210
El Salvador	1980	210
El Salvador	1981	210
El Salvador	1982	285
El Salvador	1983	301
El Salvador	1984	318
El Salvador	1985	318
El Salvador	1986	309
El Salvador	1987	327
El Salvador	1988	343
El Salvador	1989	363
El Salvador	1990	369
El Salvador	1991	370
El Salvador	1992	378
El Salvador	1993	380
El Salvador	1994	387
El Salvador	1995	395
El Salvador	1996	419
El Salvador	1997	432
El Salvador	1998	450
El Salvador	1999	453
Nicaragua	1966	115
